"Id","POINT_X","POINT_Y","width_m","date","why","slp_dg_sav","ele_mt_sav","dis_m3_pyr","dis_m3_pmn","dis_m3_pmx","RASTERVALU"
376,-107.3209038,45.8791014,1.77,"3/19/2016"," ",40,1005,1.643,0.245,6.983,767.630004882812
377,-107.1120499,46.14314019,6.12,"5/21/2014"," ",41,958,1.312,0.169,5.978,1012.83929443359
378,-107.4616527,46.39923946,0.88,"4/16/2015"," ",20,878,0.485,0.073,2.401,295.3154296875
379,-107.8144937,46.651147,18.55,"3/18/2016"," ",21,929,6.791,1.657,29.87,12710.5498046875
381,-106.6185143,47.37721173,18.87,"4/15/2015"," ",19,800,0.423,0.053,2.031,350.262939453125
383,-106.5382856,48.14202391,29.01,"8/11/2011"," ",10,666,27.669,13.336,86.865,57470.06640625
384,-106.8336234,48.34253651,24.83,"7/2/2014"," ",11,675,24.255,12.437,73.487,54449.20703125
385,-108.7439698,43.0347834,19.53,"10/24/2013"," ",18,1648,5.802,2.938,12.4,1384.04943847656
386,-108.3379763,43.8662494,3.62,"9/13/2014"," ",40,1487,2.629,0.51,9.625,942.319519042969
387,-108.6627835,44.45816055,2.4,"6/26/2015"," ",20,1514,1.113,0.263,2.773,642.752319335938
388,-109.7137228,44.4578618,49.44,"6/29/2014"," ",204,2502,4.843,1.025,19.092,1020.75213623047
389,-108.6003186,44.94050408,2.34,"8/3/2013"," ",17,1320,2.723,0.821,8.473,624.243286132812
390,-108.9288967,45.49540088,17.56,"7/31/2015"," ",33,1208,14.117,4.912,31.321,1428.76770019531
391,-110.6201283,45.93552918,10.77,"7/25/2014"," ",44,1624,6.695,2.155,15.054,1194.67248535156
392,-108.6406537,46.3654878,17.23,"3/18/2016"," ",36,1042,6.232,1.616,25.496,9137.1787109375
393,-108.5160092,46.78917708,4.59,"3/18/2016"," ",30,1164,0,0,0,524.601318359375
394,-110.0999462,47.08853977,1.02,"8/7/2016"," ",22,1300,0.396,0.091,1.591,160.471862792969
395,-108.5480144,47.16017029,4.25,"9/5/2014"," ",14,984,0.253,0.027,1.666,513.726257324219
396,-111.4985395,47.52416105,81.07,"8/25/2014"," ",15,1062,18.422,7.164,46.656,4665.68701171875
397,-110.0409604,47.47153541,5.01,"8/7/2016"," ",51,1009,3.832,0.958,15.928,1344.39965820312
398,-110.9156474,47.74416258,150.78,"7/26/2014"," ",23,950,247.672,74.848,562.723,62656.78125
399,-109.9440163,48.38337751,6.72,"7/30/2015"," ",23,885,6.329,1.868,28.289,4260.869140625
400,-108.9123115,48.54376615,27.51,"9/20/2014"," ",1,717,9.037,2.459,43.109,25578.439453125
401,-90.69485611,39.56287863,13.5,"9/18/2020"," ",12,221,1.291,0.608,3.362,0.006616610102355
402,-91.05525246,41.10316309,332.79,"4/25/2019"," ",7,192,284.018,112.666,674.233,32574.705078125
403,-93.94009084,42.11853105,113.62,"10/7/2019"," ",21,329,87.189,52.8,157.985,14558.5556640625
404,-94.15769428,41.86057044,61.77,"7/23/2018"," ",5,311,32.792,11.085,76.513,5580.0576171875
405,-94.73470697,41.9191287,12.66,"7/23/2018"," ",21,367,3.958,1.063,9.756,526.122863769531
406,-92.43790732,41.92300186,53.54,"3/19/2015"," ",17,270,43.627,17.263,92.196,5215.583984375
407,-90.79667664,42.17966494,26.59,"5/21/2012"," ",28,274,8.351,3.181,21.565,942.1806640625
408,-93.62028093,42.8433651,23.28,"10/7/2019"," ",3,365,7.899,4.081,15.629,899.262756347656
409,-90.63759013,42.73997753,22.16,"5/30/2015"," ",39,270,3.707,1.455,9.425,357.998016357422
410,-92.53431731,42.92489678,68.6,"5/21/2016"," ",12,308,37.922,10.493,128.448,3747.45776367188
411,-92.40968028,43.49311258,12.92,"5/21/2016"," ",8,390,4.431,0.941,14.951,279.779541015625
412,-91.74452215,44.10696226,1612.64,"4/2/2021"," ",21,208,2.264,0.745,6.593,265.807769775391
413,-92.91474375,44.42985907,10.08,"3/31/2021"," ",31,319,2.207,1.131,5.591,167.24382019043
414,-93.21417758,46.0684692,21.66,"5/27/2021"," ",14,365,4.938,4.073,6.562,636.455749511719
415,-93.60597877,46.66043256,67.46,"8/22/2021"," ",3,369,97.483,89.505,110.839,13905.8994140625
416,-90.50206626,45.3897955,36.66,"6/10/2016"," ",14,445,3.111,2.029,4.919,846.282165527344
417,-89.55759517,45.26491562,24.32,"5/28/2021"," ",14,435,6.21,4.125,10.042,412.873748779297
418,-89.75334643,44.6878999,34.01,"3/28/2021"," ",9,351,6.254,3.839,12.219,617.508422851562
419,-91.89624249,44.6972692,213.05,"4/20/2017"," ",21,250,234.909,180.056,345.574,23291.2109375
420,-90.54284314,45.75822667,71.05,"5/9/2013"," ",11,448,11.571,9.077,16.463,850.685424804688
421,-90.06983945,44.05006639,43.69,"9/13/2017"," ",5,290,10.858,7.499,18.908,1452.73986816406
423,-90.79705849,44.37920213,21.18,"10/12/2013"," ",17,301,2.345,1.158,5.339,225.927444458008
424,-91.67359502,45.54113667,32.22,"9/29/2015"," ",10,379,7.334,6.205,9.014,690.402160644531
425,-91.78375231,44.99859638,42.15,"4/20/2017"," ",27,298,28.628,21.767,44.897,3029.69091796875
426,-91.11828597,43.89129785,24.82,"9/28/2015"," ",59,271,8.414,3.627,20.058,1029.74548339844
427,-86.61660858,41.45807262,18.74,"9/8/2017"," ",5,223,10.056,6.239,18.204,894.262817382812
429,-92.67179681,44.66858231,346.93,"5/14/2018"," ",26,275,626.057,523.334,719.583,116320.171875
430,-92.57636346,43.97595639,9.5,"5/18/2016"," ",11,375,1.7,0.312,6.729,160.607788085938
431,-87.93689264,42.22691286,56.46,"7/27/2018"," ",8,229,7.016,2.803,18.214,703.550659179688
432,-88.53256407,41.74265516,6.81,"9/20/2015"," ",3,221,3.804,1.284,11.919,162.182952880859
433,-87.74498834,40.60007503,17.48,"10/23/2018"," ",1,211,7.749,3.001,25.76,766.7021484375
435,-89.09604995,41.40089376,18.44,"9/20/2015"," ",10,192,4.006,1.401,13.085,255.333892822266
437,-90.49056434,38.92085265,960.09,"9/25/2021"," ",7,139,2778.957,1845.736,4958.044,36.4062690734863
438,-93.51587658,47.3489292,19.93,"8/21/2013"," ",13,406,12.339,11.197,14.314,1214.248046875
439,-90.69669033,41.45553556,965.67,"4/25/2019"," ",15,206,1872.21,1302.573,3295.695,258090
440,-89.61095864,43.56122827,233.76,"9/21/2013"," ",16,263,210.256,155.077,303.911,21002.18359375
441,-90.68486919,39.11204209,1173.36,"9/18/2020"," ",23,165,2750.578,1809.625,4918.574,367399.5625
442,-89.83864366,39.99716532,62.27,"10/16/2018"," ",6,180,71.529,32.038,217.82,7908.421875
443,-89.68462561,40.73135175,21.74,"6/16/2016"," ",17,193,7.308,3.373,22.355,686.296081542969
444,-90.91027749,40.37599125,22.78,"8/23/2015"," ",9,174,13.362,6.609,37.431,1502.1201171875
445,-89.76503573,43.14763392,9.82,"8/10/2020"," ",40,283,2.632,1.171,6.833,173.148803710938
446,-88.85860755,43.05020637,63.59,"9/15/2021"," ",11,253,17.086,11.306,33.914,2005.95971679688
447,-89.59853747,43.00812982,3.42,"9/15/2021"," ",24,319,1.946,0.804,5.12,71.0289840698242
448,-89.4410421,42.71427013,117.38,"9/15/2021"," ",16,265,11.546,4.292,31.207,1151.02185058594
449,-89.06679883,41.87062138,5.39,"4/7/2019"," ",5,260,1.503,0.512,4.692,62.4985046386719
450,-89.32051193,42.52552793,177.89,"4/7/2019"," ",15,245,15.635,5.868,41.599,1680.681640625
451,-92.21787702,42.37718078,98.39,"10/26/2020"," ",9,272,126.664,42.417,353.47,13711.6435546875
452,-90.80926707,42.06959533,12.05,"5/21/2012"," ",21,252,2.401,0.95,6.476,272.765502929688
453,-90.58988244,43.74932658,10.61,"6/27/2010"," ",55,366,2.415,1.129,5.54,266.383972167969
454,-90.8063379,43.10421993,313.82,"3/20/2015"," ",51,266,265.565,191.155,436.511,28353.30859375
455,-89.7146473,42.37893165,32.11,"9/8/2015"," ",15,254,26.41,7.203,78.11,2988.63330078125
456,-92.38551868,45.8574832,18.02,"9/28/2015"," ",11,301,7.716,6.512,9.564,853.916259765625
457,-92.03986594,42.24051918,62.37,"10/27/2020"," ",8,249,139.893,46.613,382.669,15287.5439453125
458,-91.82644504,43.04234355,37.06,"5/21/2016"," ",26,336,15.96,3.75,45.741,1657.75073242188
459,-92.2962761,42.36368356,9.09,"3/10/2015"," ",9,279,1.301,0.355,3.489,92.2261352539062
460,-95.70946517,45.51966131,23.49,"5/11/2013"," ",6,343,7.313,5.783,8.871,407.619171142578
462,-92.83350968,44.73546645,18.55,"10/11/2014"," ",15,257,6.568,3.991,14.326,692.78369140625
463,-95.72120557,44.91709369,38.15,"10/1/2012"," ",11,300,66.821,50.903,84.802,16406.47265625
464,-94.71382392,43.11243651,24.2,"9/22/2012"," ",6,387,23.816,19.468,28.845,4497.4970703125
465,-94.15183424,47.23158551,21.15,"6/12/2014"," ",5,398,18.486,17.034,20.915,3123.53051757812
466,-94.30215601,45.85337941,26.97,"9/30/2013"," ",7,338,5.225,4.612,5.838,1105.29626464844
467,-91.45809928,40.63018999,9.84,"6/12/2014"," ",13,200,2.752,1.248,7.636,279.209838867188
468,-95.60433705,45.19932055,12.73,"10/1/2012"," ",1,312,4.952,3.929,6.562,653.502990722656
469,-95.09148642,46.77249416,6.91,"8/21/2013"," ",10,451,0.925,0.757,1.042,252.668762207031
470,-94.71319648,45.38508449,22.25,"5/11/2013"," ",8,366,4.51,3.636,5.703,620.886657714844
471,-91.82829053,40.38609888,16.19,"6/12/2014"," ",12,204,5.999,2.587,16.239,681.507019042969
473,-91.27452606,41.4703944,24.74,"6/12/2014"," ",8,207,3.37,1.258,9.788,329.303283691406
474,-94.3679343,42.78146462,49.1,"4/9/2012"," ",4,344,32.273,25.782,41.548,5865.8486328125
475,-94.14597775,43.69820321,19.72,"9/24/2012"," ",3,332,13.791,7.848,28.46,2010.38098144531
476,-94.63141625,44.41318056,9.29,"9/30/2011"," ",3,316,1.504,1.069,2.502,217.674896240234
477,-95.79017714,44.02995161,8.85,"10/1/2012"," ",8,495,2.506,1.889,3.246,403.730712890625
478,-96.00298391,44.55123279,8.92,"10/1/2012"," ",7,394,1.458,1.105,2.007,297.050415039062
479,-93.78347774,41.73853336,30.76,"10/15/2014"," ",11,273,6.352,2.269,14.469,912.309997558594
480,-90.01646158,44.04119073,275.82,"9/21/2013"," ",5,276,160.223,123.607,239.716,15312.318359375
481,-92.82858648,44.15245157,23.11,"7/3/2011"," ",7,372,1.541,0.715,4.143,150.040634155273
482,-91.40523124,44.55175346,12.12,"4/21/2014"," ",32,300,4.321,2.12,10.121,341.574371337891
483,-91.93050468,44.76349706,37.8,"4/21/2014"," ",27,266,43.883,31.567,74.774,4836.05126953125
485,-90.8772101,45.63465141,88.68,"9/29/2015"," ",16,410,53.347,37.466,66.05,4776.55029296875
486,-91.17816232,39.16554845,32.49,"10/6/2020"," ",15,192,3.357,1.465,8.64,441.475006103516
487,-92.34014772,40.87858188,8.32,"7/27/2020"," ",20,237,4.421,1.574,12.305,499.455596923828
488,-96.3861014,44.76060108,4.38,"9/1/2015"," ",4,360,1.74,1.289,2.544,210.280960083008
489,-96.0194192,44.97130543,21.49,"9/1/2015"," ",4,316,10.753,7.966,15.601,2693.35815429688
490,-93.70481452,41.44934227,15.58,"3/10/2016"," ",17,267,6.875,2.06,18.139,870.799194335938
491,-91.28078947,39.08604015,22.28,"3/14/2014"," ",11,216,7.338,3.149,19.056,816.522033691406
492,-96.39922686,45.1845943,12.1,"10/1/2012"," ",6,332,1.662,1.232,2.284,546.635437011719
494,-91.44995848,40.0456798,4.25,"12/30/2011"," ",5,147,10.437,5.226,27.651,0.006570814643055
495,-91.86710326,39.16859287,9.92,"4/8/2012"," ",6,254,2.166,0.933,5.596,216.979568481445
496,-91.91956383,39.47564794,43.53,"4/9/2012"," ",12,230,6.827,3.187,16.317,907.683837890625
497,-89.49566716,39.67186445,22.33,"4/12/2016"," ",4,176,16.443,7.838,45.118,1835.85302734375
498,-90.32423875,39.83827699,11.7,"8/23/2015"," ",6,181,10.578,5.078,16.987,311.073516845703
499,-89.26997355,40.21762937,27.84,"3/31/2015"," ",4,186,7.921,3.177,26.656,729.172241210938
501,-89.65359652,40.60711294,231.44,"6/16/2016"," ",12,174,430.936,210.947,1029.878,34086.88671875
502,-90.11460953,41.09222405,10.52,"9/14/2017"," ",10,232,3.006,1.357,8.872,214.641845703125
504,-87.01283628,41.24220119,47.51,"4/22/2017"," ",5,207,48.526,29.959,84.4,3912.65405273438
505,-88.41256837,41.65779615,141.47,"5/29/2021"," ",10,203,50.835,19.128,135.464,4543.65283203125
506,-89.81162517,42.2616548,10.13,"9/8/2015"," ",12,269,2.859,1.11,7.288,216.979278564453
507,-92.14897581,42.64357126,24.85,"10/26/2020"," ",6,303,12.994,3.273,36.633,1407.42687988281
508,-90.93743469,42.68374506,556.66,"5/30/2015"," ",37,254,1487.787,1126.893,2385.446,210888.046875
509,-92.08317212,43.10414873,16.93,"5/21/2016"," ",10,342,2.341,0.515,6.773,184.254653930664
510,-88.91141123,43.28840206,35.24,"9/15/2021"," ",11,258,5.498,3.194,12.501,570.164428710938
511,-91.23220684,43.46625118,645.08,"9/28/2013"," ",56,266,1119.128,887.119,1738.525,3002.30932617188
512,-91.56933425,39.58471747,72.21,"9/3/2020"," ",15,207,48.04,22.79,119.89,6164.3203125
513,-92.02393937,40.00328055,31.26,"7/13/2015"," ",11,231,4.255,1.915,10.961,548.599609375
514,-91.57232435,40.13436516,17.17,"9/15/2021"," ",11,190,8.051,3.6,21.576,1032.02880859375
515,-91.41099275,40.55798082,1362.47,"9/15/2021"," ",8,190,2315.364,1527.42,4208.821,308911.875
516,-92.07033166,40.82909782,178.51,"7/27/2020"," ",16,215,219.044,114.178,441.133,35963.16015625
517,-91.72116424,41.13096422,65.44,"10/14/2020"," ",12,207,69.93,23.283,177.903,8351.60546875
518,-91.30832535,41.19970604,16.02,"10/14/2020"," ",12,200,3.252,1.312,9.177,375.115325927734
519,-92.03260365,41.24360881,45.19,"6/17/2016"," ",12,225,38.818,12.658,89.729,4793.14404296875
520,-92.62786856,41.354035,51.96,"7/27/2020"," ",14,237,34.55,11.342,76.935,4293.369140625
521,-93.4140625,41.50247872,75.83,"9/24/2021"," ",13,256,163.57,81.737,332.051,28753.53515625
522,-94.89265477,42.26415634,29.29,"9/3/2019"," ",8,363,12.961,4.436,30.731,2173.58471679688
523,-95.0239551,43.66774095,44.27,"7/25/2016"," ",11,440,17.09,14.017,22.128,3307.76098632812
524,-93.70335379,44.02661613,29.13,"5/31/2017"," ",5,328,5.659,3.143,12.877,621.115539550781
525,-94.81789821,44.22356068,26.67,"7/22/2015"," ",5,316,11.21,8.261,17.867,2259.275390625
526,-94.27478022,44.66083076,7.79,"5/14/2018"," ",2,312,2.097,1.512,3.472,307.717376708984
527,-95.78376339,44.71008368,16.99,"9/1/2015"," ",2,325,1.504,1.13,2.394,297.786712646484
528,-95.35226437,45.05424221,11.44,"4/28/2015"," ",2,323,3.728,2.971,5.204,458.371887207031
529,-94.81835702,45.39621294,9.35,"8/30/2016"," ",3,380,3.505,2.817,4.345,539.189392089844
530,-94.34008761,46.09804308,126.77,"5/29/2015"," ",10,362,168.187,146.325,196.736,28937.87890625
531,-94.88401541,47.44969243,23.72,"8/21/2013"," ",8,417,7.17,6.038,8.823,1406.43395996094
533,-88.8664099,39.11510728,19.48,"9/13/2020"," ",8,180,3.106,1.57,7.656,222.497512817383
534,-89.14316564,38.86724914,30.16,"9/13/2020"," ",4,156,47.207,23.862,125.872,5429.38623046875
535,-89.42484742,38.6714657,14.76,"4/11/2019"," ",2,138,3.072,1.591,6.066,267.823486328125
536,-90.32804753,38.39909255,585.33,"9/25/2021"," ",14,144,6468.828,3995.216,10978.899,1787587.125
537,-90.91630043,38.44541331,38.32,"7/24/2018"," ",30,189,18.323,7.017,46.868,2136.87084960938
538,-88.99648471,38.22391974,11.72,"3/31/2015"," ",6,142,2.456,1.217,4.805,265.973449707031
539,-91.4112155,38.28679756,23.14,"10/15/2014"," ",27,246,10.278,3.792,26.366,1036.88195800781
540,-89.96444385,38.23500244,6.89,"11/29/2013"," ",9,134,4.97,2.296,9.464,44.7943801879883
541,-91.15565736,38.07211025,65.53,"6/3/2012"," ",41,255,27.217,10.442,67.512,3606.20483398438
542,-90.12795942,38.03763581,44.2,"6/4/2012"," ",19,144,6560.329,4129.873,11114.706,340.771026611328
543,-91.54900433,37.98150858,22.12,"10/28/2014"," ",31,296,7.977,2.994,19.167,979.567749023438
544,-91.60203284,37.90038093,12.06,"10/28/2014"," ",23,334,1.084,0.38,2.667,121.690238952637
545,-89.12840215,37.82835406,29.62,"3/3/2017"," ",7,124,24.711,11.113,46.385,2472.0263671875
546,-91.19172831,37.74827173,12.54,"10/28/2014"," ",42,327,2.683,0.935,6.55,243.832077026367
547,-89.86851493,37.52007284,9.69,"11/9/2015"," ",22,171,4.476,1.72,8.834,217.05973815918
548,-89.8794425,37.27852767,10.94,"11/9/2015"," ",30,161,7.428,2.778,14.781,355.240478515625
549,-84.24054516,34.79018852,28.29,"3/6/2015"," ",104,751,14.196,7.54,26.153,455.711029052734
550,-84.41951436,35.35593442,10.36,"4/12/2013"," ",69,382,4.048,1.835,7.642,126.514793395996
551,-86.45013422,35.98498959,61.03,"8/1/2011"," ",14,183,14.746,4.376,28.113,822.287902832031
552,-87.07193677,36.25826236,221.16,"8/1/2011"," ",40,169,576.729,186.53,1218.715,33920.6015625
553,-84.31254431,36.92629511,67.05,"4/12/2013"," ",51,343,82.964,24.767,191.852,5228.41552734375
554,-81.11162312,36.92526909,23.95,"3/18/2019"," ",68,764,7.525,4.103,18.757,381.154937744141
555,-83.37644178,37.36346266,26.19,"10/9/2013"," ",114,342,21.806,6.899,52.324,1559.74694824219
556,-83.65765511,37.34565876,38,"10/9/2013"," ",126,366,19.49,6.479,43.369,1321.13134765625
557,-82.68503065,37.59650859,36.61,"10/8/2013"," ",140,311,43.314,13.792,114.362,3484.13305664062
558,-85.91791554,37.58098617,22,"4/4/2013"," ",10,232,6.263,2.125,12.7,472.428192138672
559,-84.76833656,37.89087759,81.19,"9/12/2010"," ",35,254,179.987,60.433,392.984,13165.66796875
560,-86.48358678,38.04251064,742.08,"4/4/2013"," ",38,184,3660.734,1549.308,8608.076,248079.65625
561,-83.84321152,38.30464471,33.82,"10/8/2013"," ",40,255,53.895,18.512,130.887,4141.259765625
562,-81.8339818,38.62757376,18.08,"3/26/2012"," ",60,260,2.154,0.728,6.255,96.7403411865234
563,-81.87027888,39.52881416,9.45,"10/8/2013"," ",41,285,1.948,0.684,6.296,153.840560913086
564,-83.88622627,39.72430366,11.79,"11/7/2020"," ",6,321,2.491,1.119,7.69,169.686370849609
565,-80.80913404,40.06684783,20.27,"10/4/2015"," ",63,331,3.756,1.378,12.724,251.878326416016
566,-81.87254752,40.28656618,43.52,"9/29/2021"," ",37,252,69.642,30.269,222.39,5857.9619140625
568,-79.49140944,41.1617576,61.64,"9/30/2017"," ",42,413,65.422,21.758,262.652,2883.6796875
569,-78.11604156,41.75768164,14.73,"10/5/2016"," ",92,621,6.081,1.088,26.578,282.498138427734
570,-79.33220042,41.84096897,76.21,"4/14/2016"," ",69,493,14.139,5.621,50.24,785.816772460938
571,-78.97926819,41.09394561,21.95,"4/5/2014"," ",55,492,9.041,3.303,32.543,377.699951171875
572,-80.60603509,40.72087464,65.5,"8/21/2015"," ",46,336,11.997,4.671,39.837,682.98681640625
574,-80.39110056,41.40745613,23.06,"10/9/2019"," ",20,342,15.046,6.477,46.592,241.910461425781
575,-79.16429046,40.4102737,90.56,"9/26/2019"," ",64,417,41.088,16.051,144.512,2144.99682617188
576,-79.49580062,40.21306326,9.63,"4/17/2016"," ",47,363,3.674,1.432,12.832,62.5943832397461
577,-81.20289188,39.40248714,71.34,"9/14/2015"," ",78,274,1272.139,528.278,3886.646,1460.38513183594
578,-80.29302504,40.86200918,57.79,"4/17/2016"," ",50,312,36.65,14.296,118.369,2144.62915039062
579,-80.46503335,40.19085009,16.19,"3/20/2021"," ",61,354,4.338,1.575,15.238,175.180068969727
580,-81.35549566,40.80685021,9.37,"8/19/2020"," ",14,350,3.243,1.393,10.599,263.858093261719
581,-80.37686921,38.45847421,27.51,"6/12/2016"," ",158,890,11.618,6.079,30.562,433.333984375
582,-80.31826141,39.34975385,31.01,"3/21/2021"," ",88,355,28.624,12.955,83.654,1410.35571289062
583,-79.49281796,39.10919709,21.9,"7/9/2011"," ",71,959,6.443,2.913,20.123,236.698974609375
584,-79.68083316,39.33855839,67.01,"11/12/2016"," ",121,668,50.825,22.995,154.619,2414.12841796875
585,-81.09756157,38.9249068,33.43,"3/21/2021"," ",89,297,41.403,18.494,118.428,2361.68432617188
586,-81.63595452,39.27534163,498.73,"3/7/2020"," ",37,210,1622.33,672.037,4529.876,98268.6484375
587,-80.76405508,38.65495022,45.41,"3/21/2021"," ",112,352,37.617,19.008,97.277,1459.4677734375
588,-83.76008071,39.94486743,16.22,"2/21/2020"," ",11,309,5.084,2.353,16.066,248.534576416016
589,-80.31567962,37.90166845,26.96,"11/13/2013"," ",97,698,54.705,28.305,155.633,381.755981445312
590,-80.87136228,37.16523946,16.81,"11/8/2013"," ",82,801,4.007,2.116,10.252,244.709594726562
591,-82.45434003,40.25206745,16.49,"5/17/2012"," ",14,330,4.635,1.9,14.434,292.604248046875
592,-82.86907987,39.84711732,22.23,"3/17/2018"," ",8,236,7.118,2.727,22.332,470.370452880859
593,-83.34593906,40.14478997,18.21,"3/17/2018"," ",4,297,5.096,2.349,16.119,401.883056640625
594,-82.10716349,37.25548234,13.8,"10/18/2015"," ",162,576,6.62,2.462,17.498,491.075134277344
595,-81.71558404,37.44515421,28.09,"10/18/2015"," ",157,546,8.979,3.009,26.156,571.000915527344
596,-83.3126038,37.93787775,23.65,"4/4/2016"," ",70,310,1.268,0.405,3.137,1187.75317382812
597,-81.88508609,39.32869575,11.56,"10/4/2015"," ",56,256,3.854,1.336,12.227,358.469329833984
598,-84.1731325,39.05042558,41.24,"3/3/2018"," ",19,250,13.059,5.372,36.969,897.365234375
599,-82.10730749,36.7678187,50.34,"1/31/2011"," ",112,585,21.902,11.317,49.086,1077.22521972656
600,-81.95722957,38.73999754,234.44,"4/13/2011"," ",53,230,511.218,262.563,1330.875,31261.99609375
602,-82.00645335,36.97234643,35.26,"10/18/2015"," ",107,678,13.932,5.153,37.849,995.840270996094
603,-84.06715095,39.35424186,37.25,"3/11/2019"," ",10,276,9.134,3.918,26.972,548.142822265625
604,-83.13960247,39.08096854,13.3,"3/4/2021"," ",72,276,4.23,1.517,12.654,255.602127075195
605,-83.18266023,36.16276924,85.3,"10/23/2019"," ",35,375,99.225,55.298,196.744,4364.5478515625
606,-83.8144062,37.48343574,23.44,"9/20/2020"," ",55,339,2.178,0.721,4.887,163.063888549805
607,-81.43734498,36.54784527,11.9,"11/7/2013"," ",111,1079,2.216,1.242,5.062,107.605850219727
608,-83.51197168,35.72580739,14.36,"11/9/2013"," ",141,802,5.973,2.862,11.494,150.786270141602
609,-83.3759063,34.96843631,14.55,"3/18/2013"," ",124,878,6.053,2.915,11.629,110.783363342285
610,-82.39170767,35.98618743,19.16,"11/7/2013"," ",156,983,10.561,6.764,19.98,307.556884765625
613,-82.81079261,35.14302419,29.3,"4/20/2018"," ",82,813,9.524,5.549,18.348,264.256317138672
614,-86.70939284,40.9178122,111.39,"4/22/2017"," ",2,210,45.481,27.327,80.678,3240.9091796875
615,-80.36640709,40.43774588,15.21,"4/17/2016"," ",46,352,2.534,0.913,9.061,160.255630493164
616,-80.66752296,40.57279688,58.6,"8/21/2015"," ",68,328,9.049,3.415,30.696,620.072082519531
617,-79.70204527,40.70756437,31.13,"9/17/2019"," ",39,360,7.602,2.984,25.368,429.442138671875
618,-79.36069726,40.9407426,40.02,"9/30/2017"," ",81,397,24.521,9.795,79.991,1022.47814941406
619,-79.35845655,41.21946168,125.64,"4/5/2014"," ",45,449,54.216,17.336,222.801,2369.95678710938
620,-79.41856348,41.56036224,204.31,"4/5/2014"," ",64,471,175.181,41.338,786.245,9504.8681640625
621,-83.33743908,35.47452594,26.4,"3/18/2013"," ",121,718,13.608,6.96,26.607,465.375427246094
622,-84.56731761,35.93973231,128.87,"3/7/2017"," ",66,360,43.219,15.535,86.727,2023.6083984375
623,-84.5262742,40.112697,31.89,"9/24/2014"," ",3,304,6.812,2.73,23.276,478.669006347656
624,-84.12594096,36.13995523,130.54,"4/3/2021"," ",101,405,138.896,53.007,301.45,7699.37158203125
626,-80.73460298,37.33887593,98.08,"11/3/2019"," ",109,682,156.73,93.989,375.83,8940.3076171875
627,-80.08592724,38.23401983,45.98,"10/28/2016"," ",103,888,21.889,9.443,66.218,1050.70178222656
628,-81.12659247,38.22879353,116.37,"6/8/2016"," ",173,454,60.729,29.462,169.82,3340.599609375
629,-80.44281413,38.7469485,24.26,"11/13/2013"," ",98,543,3.807,1.813,10.151,155.735916137695
630,-81.34948266,39.00252049,53.87,"3/21/2021"," ",79,255,55.494,24.054,159.234,3537.65380859375
631,-80.07370283,39.38611474,102.34,"3/21/2021"," ",84,391,86.386,40.232,247.448,3412.39013671875
632,-81.13589542,39.4433626,367.22,"3/21/2021"," ",75,269,1250.392,519.93,3849.766,67883.6328125
633,-80.66178794,37.53106151,17.58,"3/18/2019"," ",104,714,4.108,2.123,10.986,234.91911315918
634,-85.71057401,41.06564714,39.22,"10/7/2016"," ",7,258,10.965,6.289,22.082,971.392761230469
635,-86.77621718,40.11612402,21.94,"9/9/2017"," ",3,254,9.765,4.622,29.878,790.367126464844
636,-84.0083749,39.69725906,14.79,"2/21/2020"," ",11,284,8.142,3.679,25.204,619.453186035156
637,-84.80713042,39.12625339,132.88,"10/12/2019"," ",27,178,175.476,78.339,566.004,13898.146484375
638,-84.87700955,39.84248338,12.18,"9/24/2014"," ",11,319,4.904,2.167,15.922,121.703773498535
639,-85.65473531,38.80597965,27.34,"2/28/2016"," ",12,184,11.393,4.299,30.955,749.073059082031
640,-87.94321823,38.45683128,12.91,"9/22/2013"," ",9,135,5.929,2.567,13.508,395.222503662109
641,-88.04434091,40.1695562,7.44,"4/18/2014"," ",2,212,3.688,1.299,12.545,205.389434814453
642,-84.51664406,37.4954292,15.5,"4/12/2017"," ",36,309,4.318,1.556,9.133,238.174285888672
643,-84.40903792,38.5497279,49.43,"4/11/2017"," ",29,236,31.095,11.422,71.201,2086.62866210938
644,-86.69189642,40.33205994,26.03,"4/11/2017"," ",5,239,6.246,3.033,18.751,479.456390380859
645,-85.66684888,38.00344029,38.97,"2/28/2016"," ",31,184,31.871,11.49,69.441,2337.98266601562
646,-85.75912791,38.50392236,12.21,"6/6/2020"," ",24,193,1.928,0.664,4.895,155.945434570312
647,-88.15557582,39.42806524,41.69,"4/12/2016"," ",11,196,23.821,10.822,69.751,2314.72827148438
648,-86.33530909,36.25511784,26.41,"12/10/2019"," ",20,181,2.858,0.887,5.423,112.280334472656
649,-87.07849245,38.91176876,99.9,"3/28/2016"," ",5,151,157.555,65.07,487.208,12264.1630859375
650,-88.1121417,37.56405868,591.61,"10/15/2015"," ",25,124,5093.88,2181.141,10992.415,367689.09375
651,-88.00044781,37.99232554,21.32,"9/22/2013"," ",10,126,7.893,2.999,16.641,658.359191894531
652,-85.09142495,36.57078961,23.28,"10/17/2015"," ",50,304,6.835,2.253,14.059,291.156372070312
653,-87.60833914,37.49153058,4.7,"10/15/2020"," ",19,140,2.319,0.825,4.697,0.006807459518313
654,-84.01309008,37.7463075,76.26,"3/5/2021"," ",48,256,108.204,34.556,246.382,8175.8203125
