"Id","POINT_X","POINT_Y","width_m","date","why","slp_dg_sav","ele_mt_sav","dis_m3_pyr","dis_m3_pmn","dis_m3_pmx","RASTERVALU"
154,-103.0742353,46.60751595,2.92,"9/25/2014"," ",11,837,0.441,0.051,2.925,169.246612548828
155,-103.5590185,46.6285134,33.36,"5/29/2017"," ",31,817,23.837,2.672,132.468,13430.9833984375
156,-99.27805548,42.79319473,134,"4/11/2016","braided",13,604,18.168,7.597,47.209,23221.2109375
157,-104.0708684,47.67683623,5.15,"5/29/2017"," ",33,666,0.483,0.077,2.997,628.366455078125
158,-103.3499034,45.57154798,4.25,"5/13/2013"," ",12,880,0.604,0.101,3.292,316.189849853516
160,-100.7763914,42.78772964,78.78,"9/25/2016","anabranching",18,863,5.853,2.188,16.322,15360.2275390625
161,-102.7339571,44.86694217,5.34,"9/30/2016"," ",16,807,1.915,0.376,9.492,828.382080078125
162,-101.9766495,43.69677399,45.21,"6/15/2016"," ",18,774,11.679,2.62,41.827,10582.28125
164,-101.2745309,41.12018396,31.49,"9/3/2014","braided",13,945,55.167,18.305,138.031,61393.5859375
165,-104.1187089,44.48473535,1.12,"8/4/2016"," ",81,1398,0.861,0.112,4.299,694.594360351562
166,-99.32096816,40.68125011,159.29,"9/4/2020","braided",6,696,106.639,32.218,293.993,151814.453125
167,-99.06354926,41.37127696,140.42,"5/16/2013"," ",17,680,17.97,7.008,41.631,66.5637817382812
168,-99.66937081,41.66406078,5.2,"8/27/2017"," ",13,773,15.232,5.614,37.812,9928.1357421875
169,-104.2963679,45.18829417,11.74,"8/4/2016"," ",13,1048,7.474,1.046,30.953,3325.76416015625
170,-101.0144452,42.79168596,29.38,"5/10/2013"," ",20,903,4.377,1.532,12.899,12989.5595703125
171,-101.0548197,41.15577894,28.89,"7/21/2014"," ",6,910,55.517,18.384,138.379,61894.02734375
172,-99.90571864,40.80223633,5.64,"4/19/2017","multi",5,757,101.812,28.884,286.072,148743.484375
174,-102.2048066,43.4381763,5.05,"4/7/2012"," ",27,968,0.314,0.081,1.135,239.212585449219
175,-98.88088577,40.67444357,221.07,"9/26/2015"," ",1,640,110.309,34.45,299.477,152194.4375
176,-99.01194581,38.8040493,16.07,"4/24/2016"," ",8,575,1.723,0.37,10.886,2037.98498535156
177,-102.6996265,43.79659442,20.91,"6/15/2016"," ",27,844,28.857,4.347,117.58,27850.134765625
179,-103.371764,43.375251,23.03,"10/15/2013"," ",35,1026,34.412,5.155,156.545,24001.51171875
180,-100.3949663,38.83954804,11.25,"2/19/2016"," ",8,789,0.18,0.035,1.18,95.0745162963867
183,-102.8747894,44.49760301,8.61,"5/4/2017"," ",20,796,2.622,0.512,12.574,893.772521972656
185,-102.38385,43.57003465,12.58,"7/16/2013"," ",25,841,8.993,2.05,30.978,8394.5625
186,-104.6441589,42.24570606,94.88,"4/23/2014"," ",38,1420,85.596,14.344,406.085,41732.203125
187,-102.6635747,40.88124157,9.41,"9/4/2020","braided",11,1156,40.103,13.66,102.46,216.717727661133
188,-103.0627915,40.74108647,64.011,"10/15/2015","braided",13,1229,39.601,13.516,101.93,48464.31640625
190,-100.6941351,42.6243353,2.43,"9/25/2016"," ",13,877,0.729,0.359,1.632,1262.38818359375
191,-101.6179018,43.18067451,4,"9/24/2016"," ",14,961,0.692,0.244,2.098,873.421447753906
192,-102.4451867,39.75978678,1.83,"9/24/2011"," ",12,1228,0.089,0,0.36,2798.27905273438
193,-103.8550921,43.32508789,6.85,"6/29/2014"," ",32,1144,28.213,3.893,137.327,18534.79296875
194,-98.19584037,40.94105666,321.81,"4/21/2016"," ",4,563,119.659,40.022,314.644,153929.15625
195,-96.27578687,38.99561326,15.31,"4/13/2019"," ",27,406,1.776,0.875,3.502,266.327392578125
196,-97.98394113,39.99968081,22.08,"4/17/2014"," ",11,497,33.426,11.725,102.119,57846.98828125
197,-96.61528562,41.20007955,9.77,"6/12/2021"," ",14,380,2.244,0.796,6.651,398.368133544922
198,-97.29361564,41.3861526,3.15,"9/27/2011"," ",5,454,192.951,71.382,464.648,403.448822021484
199,-97.10127618,41.50183632,12.75,"8/21/2017"," ",12,449,6.242,2.214,15.954,1213.2255859375
200,-96.81282936,41.75911933,2.57,"5/4/2016"," ",14,437,1.272,0.473,3.27,207.274337768555
201,-98.45002606,42.7686346,194.56,"8/21/2017"," ",19,487,32.92,12.521,82.002,29945.755859375
202,-97.42626117,43.06786421,40.51,"3/13/2015"," ",11,396,37.36,26.381,55.322,54728.078125
203,-96.87495718,43.60089976,13.27,"5/3/2021"," ",11,459,5.177,3.599,8.498,1277.01062011719
204,-98.02999913,43.94220499,46.88,"7/20/2015"," ",4,389,105.966,75.444,155.035,46297.3515625
205,-96.91871038,44.5569527,15.64,"10/9/2014"," ",8,539,19.286,14.235,25.494,5621.86962890625
206,-97.01166313,44.69585559,13.59,"10/13/2014"," ",6,523,11.975,8.946,15.182,2786.71533203125
207,-98.41245627,45.13423921,28.67,"9/26/2014"," ",2,390,58.747,43.298,81.075,25277.375
208,-98.30511094,45.60362668,22.13,"9/26/2014"," ",1,394,40.525,29.785,55.126,18381.310546875
209,-96.45996386,41.38152063,506.69,"6/12/2021","braided",8,372,207.382,76.915,493.839,199350.90625
210,-97.17663399,38.71499435,12.4,"4/8/2014"," ",9,397,1.26,0.608,2.951,183.849990844727
211,-97.61431988,38.58442047,5.44,"4/8/2014"," ",9,429,16.361,5.315,81.013,30.8710594177246
213,-97.95684904,39.77626857,3.51,"9/22/2019"," ",12,470,0.662,0.258,1.886,45.0993499755859
214,-106.2027209,48.91579412,51.01,"7/29/2011"," ",17,885,0.776,0.062,2.393,784.791198730469
215,-96.57740658,39.61145804,54.14,"10/19/2014"," ",16,384,99.417,41.265,264.032,22001.78515625
216,-96.86873232,38.93299496,20.96,"6/27/2019"," ",17,379,3.582,1.705,8.023,682.214416503906
217,-97.41604004,39.58598937,29.16,"9/21/2012","braided",6,407,44.77,15.779,128.733,61828.59375
218,-105.3466815,46.57156745,44.91,"6/23/2016"," ",37,789,39.629,4.611,178.364,34292.71484375
219,-97.29220305,38.78808644,5.73,"4/8/2014"," ",10,397,0.901,0.426,2.207,153.09440612793
220,-97.82228824,38.9785468,23.04,"6/28/2019"," ",10,405,11.798,3.626,50.351,7419.05908203125
221,-99.05600436,39.80750394,4.08,"3/13/2014"," ",13,592,0.392,0.127,1.457,112.303344726562
222,-104.8787343,48.01554808,7.88,"8/18/2013"," ",24,665,0.378,0.138,1.386,224.173751831055
223,-107.9193495,47.04996673,30.47,"3/18/2016"," ",40,824,9.892,2.236,46.739,20547.80078125
224,-105.9882177,48.02386776,340.14,"8/7/2016"," ",13,639,326.451,111.773,643.827,208933.828125
225,-106.3875037,48.21837997,16.57,"7/29/2011"," ",17,704,2.328,0.504,4.44,1785.40112304688
226,-106.4048398,45.45016384,24.88,"6/15/2013"," ",62,1072,10.516,0.919,55.305,7008.08447265625
227,-99.99434139,44.13040396,3.31,"8/20/2012"," ",25,525,0.683,0.305,2.329,270.562683105469
228,-101.4963896,44.13895695,7,"8/16/2013"," ",16,713,0.303,0.069,1.418,111.031089782715
229,-100.0150596,44.4039495,21.79,"8/10/2014"," ",17,519,4.97,2.426,14.055,2022.67907714844
230,-101.9549566,44.38562208,4.28,"6/15/2016"," ",23,759,0.379,0.076,1.829,120.354637145996
231,-101.6081655,44.574117,70.71,"9/14/2014"," ",26,635,44.555,7.87,201.561,56033.5546875
232,-100.1942087,45.32260795,4.02,"8/11/2014"," ",18,555,3.207,1.635,8.811,1546.75451660156
233,-101.6730628,45.21907003,21.58,"9/14/2014"," ",21,681,17.572,2.844,98.932,9111.619140625
235,-101.273227,46.11424522,6.24,"6/22/2016"," ",17,654,0.454,0.109,2.807,179.003723144531
236,-100.7139555,46.38347072,22.54,"5/4/2016"," ",19,534,24.729,3.245,171.51,10845.791015625
237,-101.9886569,46.62040461,42.56,"5/2/2016"," ",17,703,10.985,0.802,72.451,4199.45849609375
238,-100.9136066,47.25802354,8.22,"9/21/2021"," ",16,567,3.334,2.171,7.456,2017.41357421875
239,-106.3280388,46.2865713,174.12,"5/22/2014"," ",16,780,385.646,120.215,972.11,106703.0625
240,-106.3713032,44.63948266,21.39,"4/30/2014"," ",52,1293,2.364,0.266,9.958,2181.11450195312
241,-105.3186446,45.23894437,6.55,"4/18/2014"," ",33,1046,7.745,0.917,37.83,4374.033203125
242,-106.2325302,47.46726399,1.73,"4/15/2015"," ",25,764,1.461,0.293,6.336,824.893737792969
243,-105.2859052,44.0490372,1.77,"7/26/2014"," ",27,1417,2.544,0.237,15.11,1625.43334960938
244,-105.3432341,44.56726308,2.66,"4/18/2014"," ",35,1252,1.438,0.166,7.628,687.067077636719
245,-106.8195053,47.32380265,6.04,"4/15/2015"," ",18,809,1.899,0.084,10.785,1549.67309570312
246,-107.5566815,48.03697538,1.22,"7/3/2014"," ",13,751,1.221,0.231,5.699,40.721996307373
247,-106.894687,48.37297445,19.05,"7/2/2014"," ",16,752,0.148,0.034,0.541,119.478782653809
249,-106.2937422,45.65000873,45.5,"6/6/2016"," ",45,1012,13.974,1.273,70.616,9456.337890625
250,-106.6069438,46.38948699,3.48,"5/17/2015"," ",23,833,1.364,0.191,6.756,1442.40295410156
251,-106.1779058,44.0574346,14.76,"8/3/2016"," ",33,1292,12.455,0.841,64.577,10441.4306640625
252,-106.0792523,44.60164158,76.07,"4/30/2014"," ",41,1179,16.798,1.248,93.06,15266.37890625
253,-105.725754,44.89698066,1.6,"4/30/2014"," ",56,1167,0.478,0.051,2.396,163.458541870117
254,-106.7467213,45.59007004,3.86,"5/21/2014"," ",64,1224,0.425,0.049,1.87,235.468597412109
256,-107.3959916,45.04556558,6.14,"6/25/2017"," ",99,1690,0.451,0.087,1.742,173.122619628906
257,-105.0158908,43.43684736,7.2,"6/24/2016"," ",20,1366,6.106,0.527,37.426,3997.38208007812
258,-106.3236242,40.8899455,9.08,"9/12/2014"," ",70,2643,8.312,3.374,22.945,510.023223876953
260,-106.1617908,42.28022038,9.51,"4/7/2014"," ",16,2157,2.05,0.208,11.091,680.107604980469
261,-104.8105752,39.66813241,1.47,"10/2/2020"," ",16,1722,0.133,0.034,0.372,1.66503095626831
262,-105.1890579,39.31921319,25.82,"10/14/2017"," ",105,2251,5.211,2.114,19.481,5338.84716796875
